,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
0,inf,inf,inf,inf
1,inf,inf,inf,inf
2,inf,inf,inf,inf
3,inf,inf,inf,inf
4,inf,inf,inf,inf
7,94.05,94.05,0.0,0.0
8,inf,inf,inf,inf
9,inf,inf,inf,inf
10,inf,inf,inf,inf
11,inf,inf,inf,inf
12,inf,inf,inf,inf
13,inf,inf,inf,inf
14,inf,inf,inf,inf
15,inf,inf,inf,inf
16,inf,inf,inf,inf
19,inf,inf,inf,inf
20,inf,inf,inf,inf
21,inf,inf,inf,inf
22,inf,inf,inf,inf
23,inf,inf,inf,inf
24,inf,inf,inf,inf
25,inf,inf,inf,inf
26,inf,inf,inf,inf
27,inf,inf,inf,inf
29,94.05,94.05,0.0,0.0
32,inf,inf,inf,inf
33,inf,inf,inf,inf
36,inf,inf,inf,inf
37,inf,inf,inf,inf
38,inf,inf,inf,inf
39,inf,inf,inf,inf
40,inf,inf,inf,inf
42,inf,inf,inf,inf
43,inf,inf,inf,inf
44,inf,inf,inf,inf
45,inf,inf,inf,inf
46,inf,inf,inf,inf
47,inf,inf,inf,inf
49,inf,inf,inf,inf
52,inf,inf,inf,inf
54,inf,inf,inf,inf
58,inf,inf,inf,inf
59,inf,inf,inf,inf
60,inf,inf,inf,inf
61,inf,inf,inf,inf
62,inf,inf,inf,inf
63,inf,inf,inf,inf
64,inf,inf,inf,inf
67,inf,inf,inf,inf
68,inf,inf,inf,inf
72,inf,inf,inf,inf
73,94.97,94.97,0.0,0.0
74,inf,inf,inf,inf
75,inf,inf,inf,inf
78,inf,inf,inf,inf
79,inf,inf,inf,inf
80,inf,inf,inf,inf
81,inf,inf,inf,inf
84,inf,inf,inf,inf
85,inf,inf,inf,inf
86,inf,inf,inf,inf
87,inf,inf,inf,inf
88,inf,inf,inf,inf
90,inf,inf,inf,inf
91,inf,inf,inf,inf
92,inf,inf,inf,inf
93,inf,inf,inf,inf
94,94.81,94.81,0.0,0.0
97,inf,inf,inf,inf
98,inf,inf,inf,inf
100,inf,inf,inf,inf
101,inf,inf,inf,inf
102,inf,inf,inf,inf
104,inf,inf,inf,inf
106,inf,inf,inf,inf
107,inf,inf,inf,inf
108,inf,inf,inf,inf
109,inf,inf,inf,inf
110,inf,inf,inf,inf
111,inf,inf,inf,inf
113,inf,inf,inf,inf
115,inf,inf,inf,inf
116,94.94,94.94,0.0,0.0
117,inf,inf,inf,inf
118,inf,inf,inf,inf
119,inf,inf,inf,inf
120,inf,inf,inf,inf
121,inf,inf,inf,inf
123,inf,inf,inf,inf
125,inf,inf,inf,inf
126,inf,inf,inf,inf
127,inf,inf,inf,inf
128,inf,inf,inf,inf
129,inf,inf,inf,inf
130,inf,inf,inf,inf
131,inf,inf,inf,inf
132,inf,inf,inf,inf
133,inf,inf,inf,inf
134,inf,inf,inf,inf
136,inf,inf,inf,inf
137,inf,inf,inf,inf
138,94.64,94.64,0.0,0.0
139,inf,inf,inf,inf
140,inf,inf,inf,inf
142,inf,inf,inf,inf
143,inf,inf,inf,inf
144,inf,inf,inf,inf
147,inf,inf,inf,inf
148,inf,inf,inf,inf
149,inf,inf,inf,inf
150,inf,inf,inf,inf
152,inf,inf,inf,inf
153,inf,inf,inf,inf
154,inf,inf,inf,inf
155,inf,inf,inf,inf
156,inf,inf,inf,inf
158,inf,inf,inf,inf
159,inf,inf,inf,inf
160,95.31,95.31,0.0,0.0
161,inf,inf,inf,inf
162,inf,inf,inf,inf
163,inf,inf,inf,inf
164,inf,inf,inf,inf
165,inf,inf,inf,inf
166,inf,inf,inf,inf
168,inf,inf,inf,inf
169,inf,inf,inf,inf
170,inf,inf,inf,inf
172,inf,inf,inf,inf
173,inf,inf,inf,inf
174,inf,inf,inf,inf
176,inf,inf,inf,inf
177,inf,inf,inf,inf
178,inf,inf,inf,inf
180,inf,inf,inf,inf
184,inf,inf,inf,inf
186,inf,inf,inf,inf
187,inf,inf,inf,inf
189,inf,inf,inf,inf
191,inf,inf,inf,inf
192,inf,inf,inf,inf
193,inf,inf,inf,inf
194,inf,inf,inf,inf
195,inf,inf,inf,inf
196,inf,inf,inf,inf
197,inf,inf,inf,inf
198,inf,inf,inf,inf
199,inf,inf,inf,inf
200,inf,inf,inf,inf
202,inf,inf,inf,inf
204,95.08,95.08,0.0,0.0
205,inf,inf,inf,inf
206,inf,inf,inf,inf
208,inf,inf,inf,inf
210,inf,inf,inf,inf
211,inf,inf,inf,inf
212,inf,inf,inf,inf
213,inf,inf,inf,inf
214,inf,inf,inf,inf
216,inf,inf,inf,inf
217,inf,inf,inf,inf
220,inf,inf,inf,inf
221,inf,inf,inf,inf
223,inf,inf,inf,inf
225,inf,inf,inf,inf
226,95.08,95.08,0.0,0.0
227,inf,inf,inf,inf
228,inf,inf,inf,inf
229,inf,inf,inf,inf
230,inf,inf,inf,inf
232,inf,inf,inf,inf
234,inf,inf,inf,inf
235,inf,inf,inf,inf
237,inf,inf,inf,inf
238,inf,inf,inf,inf
240,inf,inf,inf,inf
241,inf,inf,inf,inf
242,inf,inf,inf,inf
243,inf,inf,inf,inf
248,inf,inf,inf,inf
249,94.94,94.94,0.0,0.0
250,inf,inf,inf,inf
251,inf,inf,inf,inf
252,inf,inf,inf,inf
253,inf,inf,inf,inf
254,inf,inf,inf,inf
256,inf,inf,inf,inf
257,inf,inf,inf,inf
258,inf,inf,inf,inf
259,inf,inf,inf,inf
261,inf,inf,inf,inf
262,inf,inf,inf,inf
263,inf,inf,inf,inf
264,inf,inf,inf,inf
265,inf,inf,inf,inf
266,inf,inf,inf,inf
267,inf,inf,inf,inf
271,94.94,94.94,0.0,0.0
273,inf,inf,inf,inf
274,inf,inf,inf,inf
275,inf,inf,inf,inf
276,inf,inf,inf,inf
279,inf,inf,inf,inf
280,inf,inf,inf,inf
284,inf,inf,inf,inf
285,inf,inf,inf,inf
287,inf,inf,inf,inf
288,inf,inf,inf,inf
289,inf,inf,inf,inf
292,inf,inf,inf,inf
294,inf,inf,inf,inf
295,inf,inf,inf,inf
297,inf,inf,inf,inf
298,inf,inf,inf,inf
299,inf,inf,inf,inf
300,inf,inf,inf,inf
302,inf,inf,inf,inf
303,inf,inf,inf,inf
304,inf,inf,inf,inf
306,inf,inf,inf,inf
309,inf,inf,inf,inf
310,inf,inf,inf,inf
311,inf,inf,inf,inf
312,inf,inf,inf,inf
314,inf,inf,inf,inf
315,94.97,94.97,0.0,0.0
316,inf,inf,inf,inf
317,inf,inf,inf,inf
318,inf,inf,inf,inf
319,inf,inf,inf,inf
320,inf,inf,inf,inf
322,inf,inf,inf,inf
323,inf,inf,inf,inf
325,inf,inf,inf,inf
327,inf,inf,inf,inf
328,inf,inf,inf,inf
329,inf,inf,inf,inf
330,inf,inf,inf,inf
331,inf,inf,inf,inf
332,inf,inf,inf,inf
334,inf,inf,inf,inf
336,inf,inf,inf,inf
337,94.97,94.97,0.0,0.0
338,inf,inf,inf,inf
340,inf,inf,inf,inf
342,inf,inf,inf,inf
343,inf,inf,inf,inf
344,inf,inf,inf,inf
345,inf,inf,inf,inf
348,inf,inf,inf,inf
350,inf,inf,inf,inf
351,inf,inf,inf,inf
352,inf,inf,inf,inf
353,inf,inf,inf,inf
354,inf,inf,inf,inf
355,inf,inf,inf,inf
356,inf,inf,inf,inf
357,inf,inf,inf,inf
358,inf,inf,inf,inf
360,inf,inf,inf,inf
361,inf,inf,inf,inf
362,inf,inf,inf,inf
363,inf,inf,inf,inf
366,inf,inf,inf,inf
367,inf,inf,inf,inf
369,inf,inf,inf,inf
370,inf,inf,inf,inf
373,inf,inf,inf,inf
375,inf,inf,inf,inf
378,inf,inf,inf,inf
380,inf,inf,inf,inf
382,inf,inf,inf,inf
385,inf,inf,inf,inf
386,inf,inf,inf,inf
387,inf,inf,inf,inf
388,inf,inf,inf,inf
393,inf,inf,inf,inf
394,inf,inf,inf,inf
396,inf,inf,inf,inf
397,inf,inf,inf,inf
398,inf,inf,inf,inf
399,inf,inf,inf,inf
400,inf,inf,inf,inf
403,inf,inf,inf,inf
404,inf,inf,inf,inf
405,inf,inf,inf,inf
407,inf,inf,inf,inf
408,inf,inf,inf,inf
409,inf,inf,inf,inf
411,inf,inf,inf,inf
412,inf,inf,inf,inf
414,inf,inf,inf,inf
416,inf,inf,inf,inf
417,inf,inf,inf,inf
418,inf,inf,inf,inf
419,inf,inf,inf,inf
420,inf,inf,inf,inf
421,inf,inf,inf,inf
423,inf,inf,inf,inf
424,inf,inf,inf,inf
425,94.94,94.94,0.0,0.0
428,inf,inf,inf,inf
429,inf,inf,inf,inf
431,inf,inf,inf,inf
433,inf,inf,inf,inf
434,inf,inf,inf,inf
435,inf,inf,inf,inf
437,inf,inf,inf,inf
440,inf,inf,inf,inf
441,inf,inf,inf,inf
442,inf,inf,inf,inf
443,inf,inf,inf,inf
444,inf,inf,inf,inf
445,inf,inf,inf,inf
446,inf,inf,inf,inf
447,94.01,94.01,0.0,0.0
448,inf,inf,inf,inf
449,inf,inf,inf,inf
450,inf,inf,inf,inf
453,inf,inf,inf,inf
454,inf,inf,inf,inf
455,inf,inf,inf,inf
457,inf,inf,inf,inf
459,inf,inf,inf,inf
460,inf,inf,inf,inf
461,inf,inf,inf,inf
463,inf,inf,inf,inf
465,inf,inf,inf,inf
466,inf,inf,inf,inf
467,inf,inf,inf,inf
468,93.81,93.81,0.0,0.0
469,inf,inf,inf,inf
471,inf,inf,inf,inf
472,inf,inf,inf,inf
478,inf,inf,inf,inf
479,inf,inf,inf,inf
480,inf,inf,inf,inf
481,inf,inf,inf,inf
484,inf,inf,inf,inf
485,inf,inf,inf,inf
487,inf,inf,inf,inf
490,94.94,94.94,0.0,0.0
492,inf,inf,inf,inf
494,inf,inf,inf,inf
496,inf,inf,inf,inf
497,inf,inf,inf,inf
501,inf,inf,inf,inf
502,inf,inf,inf,inf
503,inf,inf,inf,inf
506,inf,inf,inf,inf
507,inf,inf,inf,inf
508,inf,inf,inf,inf
509,inf,inf,inf,inf
510,inf,inf,inf,inf
511,inf,inf,inf,inf
514,inf,inf,inf,inf
515,inf,inf,inf,inf
516,inf,inf,inf,inf
517,inf,inf,inf,inf
518,inf,inf,inf,inf
519,inf,inf,inf,inf
520,inf,inf,inf,inf
521,inf,inf,inf,inf
524,inf,inf,inf,inf
525,inf,inf,inf,inf
526,inf,inf,inf,inf
528,inf,inf,inf,inf
529,inf,inf,inf,inf
530,inf,inf,inf,inf
533,inf,inf,inf,inf
534,inf,inf,inf,inf
535,94.64,94.64,0.0,0.0
537,inf,inf,inf,inf
539,inf,inf,inf,inf
540,inf,inf,inf,inf
541,inf,inf,inf,inf
542,inf,inf,inf,inf
544,inf,inf,inf,inf
545,inf,inf,inf,inf
546,inf,inf,inf,inf
547,inf,inf,inf,inf
548,inf,inf,inf,inf
549,inf,inf,inf,inf
550,inf,inf,inf,inf
552,inf,inf,inf,inf
553,inf,inf,inf,inf
555,inf,inf,inf,inf
556,inf,inf,inf,inf
557,94.97,94.97,0.0,0.0
558,inf,inf,inf,inf
560,inf,inf,inf,inf
561,inf,inf,inf,inf
563,inf,inf,inf,inf
564,inf,inf,inf,inf
565,inf,inf,inf,inf
566,inf,inf,inf,inf
567,inf,inf,inf,inf
568,inf,inf,inf,inf
570,inf,inf,inf,inf
571,inf,inf,inf,inf
572,inf,inf,inf,inf
573,inf,inf,inf,inf
574,inf,inf,inf,inf
575,inf,inf,inf,inf
576,inf,inf,inf,inf
577,inf,inf,inf,inf
583,inf,inf,inf,inf
584,inf,inf,inf,inf
585,inf,inf,inf,inf
589,inf,inf,inf,inf
590,inf,inf,inf,inf
591,inf,inf,inf,inf
593,inf,inf,inf,inf
594,inf,inf,inf,inf
595,inf,inf,inf,inf
596,inf,inf,inf,inf
597,inf,inf,inf,inf
598,inf,inf,inf,inf
599,inf,inf,inf,inf
600,inf,inf,inf,inf
601,94.97,94.97,0.0,0.0
604,inf,inf,inf,inf
605,inf,inf,inf,inf
606,inf,inf,inf,inf
610,inf,inf,inf,inf
612,inf,inf,inf,inf
613,inf,inf,inf,inf
614,inf,inf,inf,inf
615,inf,inf,inf,inf
616,inf,inf,inf,inf
617,inf,inf,inf,inf
619,inf,inf,inf,inf
620,inf,inf,inf,inf
622,inf,inf,inf,inf
623,94.19,94.19,0.0,0.0
624,inf,inf,inf,inf
625,inf,inf,inf,inf
628,inf,inf,inf,inf
629,inf,inf,inf,inf
630,inf,inf,inf,inf
631,inf,inf,inf,inf
632,inf,inf,inf,inf
633,inf,inf,inf,inf
637,inf,inf,inf,inf
638,inf,inf,inf,inf
639,inf,inf,inf,inf
640,inf,inf,inf,inf
643,inf,inf,inf,inf
644,inf,inf,inf,inf
645,inf,inf,inf,inf
646,93.08,93.08,0.0,0.0
647,inf,inf,inf,inf
648,inf,inf,inf,inf
649,inf,inf,inf,inf
650,inf,inf,inf,inf
651,inf,inf,inf,inf
652,inf,inf,inf,inf
654,inf,inf,inf,inf
655,inf,inf,inf,inf
658,inf,inf,inf,inf
659,inf,inf,inf,inf
662,inf,inf,inf,inf
665,inf,inf,inf,inf
666,inf,inf,inf,inf
668,94.94,94.94,0.0,0.0
670,inf,inf,inf,inf
671,inf,inf,inf,inf
673,inf,inf,inf,inf
674,inf,inf,inf,inf
675,inf,inf,inf,inf
676,inf,inf,inf,inf
678,inf,inf,inf,inf
680,inf,inf,inf,inf
682,inf,inf,inf,inf
683,inf,inf,inf,inf
684,inf,inf,inf,inf
685,inf,inf,inf,inf
686,inf,inf,inf,inf
687,inf,inf,inf,inf
688,inf,inf,inf,inf
690,94.94,94.94,0.0,0.0
691,inf,inf,inf,inf
692,inf,inf,inf,inf
693,inf,inf,inf,inf
694,inf,inf,inf,inf
697,inf,inf,inf,inf
698,inf,inf,inf,inf
699,inf,inf,inf,inf
702,inf,inf,inf,inf
705,inf,inf,inf,inf
706,inf,inf,inf,inf
708,inf,inf,inf,inf
710,inf,inf,inf,inf
711,93.08,93.08,0.0,0.0
712,inf,inf,inf,inf
713,inf,inf,inf,inf
714,inf,inf,inf,inf
716,inf,inf,inf,inf
717,inf,inf,inf,inf
719,inf,inf,inf,inf
721,inf,inf,inf,inf
722,inf,inf,inf,inf
725,inf,inf,inf,inf
726,inf,inf,inf,inf
727,inf,inf,inf,inf
731,inf,inf,inf,inf
732,inf,inf,inf,inf
733,93.48,93.48,0.0,0.0
734,inf,inf,inf,inf
735,inf,inf,inf,inf
736,inf,inf,inf,inf
737,inf,inf,inf,inf
738,inf,inf,inf,inf
740,inf,inf,inf,inf
743,inf,inf,inf,inf
745,inf,inf,inf,inf
746,inf,inf,inf,inf
747,inf,inf,inf,inf
749,inf,inf,inf,inf
750,inf,inf,inf,inf
752,inf,inf,inf,inf
754,93.48,93.48,0.0,0.0
755,inf,inf,inf,inf
757,inf,inf,inf,inf
758,inf,inf,inf,inf
759,inf,inf,inf,inf
760,inf,inf,inf,inf
761,inf,inf,inf,inf
762,inf,inf,inf,inf
763,inf,inf,inf,inf
764,inf,inf,inf,inf
765,inf,inf,inf,inf
766,inf,inf,inf,inf
768,inf,inf,inf,inf
769,inf,inf,inf,inf
770,inf,inf,inf,inf
772,inf,inf,inf,inf
775,inf,inf,inf,inf
776,94.19,94.19,0.0,0.0
777,inf,inf,inf,inf
778,inf,inf,inf,inf
780,inf,inf,inf,inf
781,inf,inf,inf,inf
783,inf,inf,inf,inf
784,inf,inf,inf,inf
785,inf,inf,inf,inf
786,inf,inf,inf,inf
788,inf,inf,inf,inf
789,inf,inf,inf,inf
790,inf,inf,inf,inf
791,inf,inf,inf,inf
792,inf,inf,inf,inf
797,inf,inf,inf,inf
801,inf,inf,inf,inf
802,inf,inf,inf,inf
807,inf,inf,inf,inf
808,inf,inf,inf,inf
810,inf,inf,inf,inf
811,inf,inf,inf,inf
812,inf,inf,inf,inf
816,inf,inf,inf,inf
818,inf,inf,inf,inf
821,inf,inf,inf,inf
822,inf,inf,inf,inf
823,inf,inf,inf,inf
824,inf,inf,inf,inf
826,inf,inf,inf,inf
827,inf,inf,inf,inf
828,inf,inf,inf,inf
829,inf,inf,inf,inf
830,inf,inf,inf,inf
831,inf,inf,inf,inf
833,inf,inf,inf,inf
835,inf,inf,inf,inf
836,inf,inf,inf,inf
839,inf,inf,inf,inf
840,inf,inf,inf,inf
841,94.85,94.85,0.0,0.0
842,inf,inf,inf,inf
843,inf,inf,inf,inf
845,inf,inf,inf,inf
846,inf,inf,inf,inf
848,inf,inf,inf,inf
849,inf,inf,inf,inf
850,inf,inf,inf,inf
851,inf,inf,inf,inf
852,inf,inf,inf,inf
853,inf,inf,inf,inf
857,inf,inf,inf,inf
860,inf,inf,inf,inf
861,inf,inf,inf,inf
862,inf,inf,inf,inf
863,94.85,94.85,0.0,0.0
865,inf,inf,inf,inf
867,inf,inf,inf,inf
869,inf,inf,inf,inf
870,inf,inf,inf,inf
871,inf,inf,inf,inf
872,inf,inf,inf,inf
873,inf,inf,inf,inf
874,inf,inf,inf,inf
875,inf,inf,inf,inf
876,inf,inf,inf,inf
877,inf,inf,inf,inf
878,inf,inf,inf,inf
880,inf,inf,inf,inf
881,inf,inf,inf,inf
882,inf,inf,inf,inf
883,inf,inf,inf,inf
884,inf,inf,inf,inf
886,inf,inf,inf,inf
887,inf,inf,inf,inf
888,inf,inf,inf,inf
890,inf,inf,inf,inf
891,inf,inf,inf,inf
893,inf,inf,inf,inf
894,inf,inf,inf,inf
895,inf,inf,inf,inf
896,inf,inf,inf,inf
897,inf,inf,inf,inf
899,inf,inf,inf,inf
900,inf,inf,inf,inf
901,inf,inf,inf,inf
902,inf,inf,inf,inf
903,inf,inf,inf,inf
904,inf,inf,inf,inf
905,inf,inf,inf,inf
907,94.28,94.28,0.0,0.0
908,inf,inf,inf,inf
909,inf,inf,inf,inf
910,inf,inf,inf,inf
911,inf,inf,inf,inf
912,inf,inf,inf,inf
913,inf,inf,inf,inf
914,inf,inf,inf,inf
915,inf,inf,inf,inf
916,inf,inf,inf,inf
917,inf,inf,inf,inf
918,inf,inf,inf,inf
919,inf,inf,inf,inf
921,inf,inf,inf,inf
922,inf,inf,inf,inf
923,inf,inf,inf,inf
926,inf,inf,inf,inf
927,inf,inf,inf,inf
928,93.17,93.17,0.0,0.0
929,inf,inf,inf,inf
932,inf,inf,inf,inf
933,inf,inf,inf,inf
934,inf,inf,inf,inf
935,inf,inf,inf,inf
936,inf,inf,inf,inf
938,inf,inf,inf,inf
939,inf,inf,inf,inf
940,inf,inf,inf,inf
941,inf,inf,inf,inf
942,inf,inf,inf,inf
943,inf,inf,inf,inf
944,inf,inf,inf,inf
945,inf,inf,inf,inf
947,inf,inf,inf,inf
948,inf,inf,inf,inf
949,inf,inf,inf,inf
950,93.25,93.25,0.0,0.0
951,inf,inf,inf,inf
952,inf,inf,inf,inf
954,inf,inf,inf,inf
955,inf,inf,inf,inf
956,inf,inf,inf,inf
957,inf,inf,inf,inf
958,inf,inf,inf,inf
960,inf,inf,inf,inf
963,inf,inf,inf,inf
965,inf,inf,inf,inf
967,inf,inf,inf,inf
968,inf,inf,inf,inf
969,inf,inf,inf,inf
971,inf,inf,inf,inf
972,94.33,94.33,0.0,0.0
973,inf,inf,inf,inf
974,inf,inf,inf,inf
975,inf,inf,inf,inf
977,inf,inf,inf,inf
979,inf,inf,inf,inf
980,inf,inf,inf,inf
981,inf,inf,inf,inf
982,inf,inf,inf,inf
983,inf,inf,inf,inf
984,inf,inf,inf,inf
986,inf,inf,inf,inf
987,inf,inf,inf,inf
988,inf,inf,inf,inf
989,inf,inf,inf,inf
990,inf,inf,inf,inf
991,inf,inf,inf,inf
992,inf,inf,inf,inf
993,inf,inf,inf,inf
994,95.08,95.08,0.0,0.0
995,inf,inf,inf,inf
997,inf,inf,inf,inf
1000,inf,inf,inf,inf
1001,inf,inf,inf,inf
1002,inf,inf,inf,inf
1003,inf,inf,inf,inf
1004,inf,inf,inf,inf
1005,inf,inf,inf,inf
1006,inf,inf,inf,inf
1007,inf,inf,inf,inf
1010,inf,inf,inf,inf
1011,inf,inf,inf,inf
1014,inf,inf,inf,inf
1015,inf,inf,inf,inf
1016,95.02,95.02,0.0,0.0
1017,inf,inf,inf,inf
1019,inf,inf,inf,inf
1020,inf,inf,inf,inf
1022,inf,inf,inf,inf
1023,inf,inf,inf,inf
1028,inf,inf,inf,inf
1030,inf,inf,inf,inf
1032,inf,inf,inf,inf
1034,inf,inf,inf,inf
1035,inf,inf,inf,inf
1036,inf,inf,inf,inf
1037,inf,inf,inf,inf
1038,94.28,94.28,0.0,0.0
1040,inf,inf,inf,inf
1041,inf,inf,inf,inf
1042,inf,inf,inf,inf
1046,inf,inf,inf,inf
1049,inf,inf,inf,inf
1050,inf,inf,inf,inf
1051,inf,inf,inf,inf
1052,inf,inf,inf,inf
1053,inf,inf,inf,inf
1054,inf,inf,inf,inf
1055,inf,inf,inf,inf
1056,inf,inf,inf,inf
1057,inf,inf,inf,inf
1059,inf,inf,inf,inf
1060,94.81,94.81,0.0,0.0
1061,inf,inf,inf,inf
1063,inf,inf,inf,inf
1065,inf,inf,inf,inf
1066,inf,inf,inf,inf
1067,inf,inf,inf,inf
1068,inf,inf,inf,inf
1069,inf,inf,inf,inf
1070,inf,inf,inf,inf
1071,inf,inf,inf,inf
1072,inf,inf,inf,inf
1073,inf,inf,inf,inf
1074,inf,inf,inf,inf
1075,inf,inf,inf,inf
1077,inf,inf,inf,inf
1079,inf,inf,inf,inf
1080,inf,inf,inf,inf
1081,inf,inf,inf,inf
1082,94.85,94.85,0.0,0.0
1084,inf,inf,inf,inf
1085,inf,inf,inf,inf
1086,inf,inf,inf,inf
1088,inf,inf,inf,inf
1091,inf,inf,inf,inf
1094,inf,inf,inf,inf
1096,inf,inf,inf,inf
1097,inf,inf,inf,inf
1098,inf,inf,inf,inf
1102,inf,inf,inf,inf
1104,inf,inf,inf,inf
1106,inf,inf,inf,inf
1107,inf,inf,inf,inf
1108,inf,inf,inf,inf
1113,inf,inf,inf,inf
1114,inf,inf,inf,inf
1117,inf,inf,inf,inf
1118,inf,inf,inf,inf
1120,inf,inf,inf,inf
1122,inf,inf,inf,inf
1123,inf,inf,inf,inf
1124,inf,inf,inf,inf
1126,inf,inf,inf,inf
1127,95.43,95.43,0.0,0.0
1128,inf,inf,inf,inf
1129,inf,inf,inf,inf
1130,inf,inf,inf,inf
1131,inf,inf,inf,inf
1134,inf,inf,inf,inf
1135,inf,inf,inf,inf
1136,inf,inf,inf,inf
1139,inf,inf,inf,inf
1140,inf,inf,inf,inf
1141,inf,inf,inf,inf
1142,inf,inf,inf,inf
1143,inf,inf,inf,inf
1145,inf,inf,inf,inf
1148,inf,inf,inf,inf
1150,93.17,93.17,0.0,0.0
1151,inf,inf,inf,inf
1152,inf,inf,inf,inf
1153,inf,inf,inf,inf
1155,inf,inf,inf,inf
1156,inf,inf,inf,inf
1157,inf,inf,inf,inf
1158,inf,inf,inf,inf
1159,inf,inf,inf,inf
1161,inf,inf,inf,inf
1162,inf,inf,inf,inf
1165,inf,inf,inf,inf
1166,inf,inf,inf,inf
1167,inf,inf,inf,inf
1168,inf,inf,inf,inf
1170,inf,inf,inf,inf
1171,inf,inf,inf,inf
1172,inf,inf,inf,inf
1174,inf,inf,inf,inf
1177,inf,inf,inf,inf
1178,inf,inf,inf,inf
1179,inf,inf,inf,inf
1180,inf,inf,inf,inf
1181,inf,inf,inf,inf
1182,inf,inf,inf,inf
1183,inf,inf,inf,inf
1186,inf,inf,inf,inf
1187,inf,inf,inf,inf
1188,inf,inf,inf,inf
1189,inf,inf,inf,inf
1191,inf,inf,inf,inf
1192,inf,inf,inf,inf
1193,inf,inf,inf,inf
1195,95.31,95.31,0.0,0.0
1196,inf,inf,inf,inf
1197,inf,inf,inf,inf
1200,inf,inf,inf,inf
1201,inf,inf,inf,inf
1202,inf,inf,inf,inf
1204,inf,inf,inf,inf
1206,inf,inf,inf,inf
1209,inf,inf,inf,inf
1210,inf,inf,inf,inf
1211,inf,inf,inf,inf
1212,inf,inf,inf,inf
1214,inf,inf,inf,inf
1215,inf,inf,inf,inf
1216,inf,inf,inf,inf
1219,inf,inf,inf,inf
1220,inf,inf,inf,inf
1221,inf,inf,inf,inf
1223,inf,inf,inf,inf
1224,inf,inf,inf,inf
1225,inf,inf,inf,inf
1226,inf,inf,inf,inf
1228,inf,inf,inf,inf
1231,inf,inf,inf,inf
1233,inf,inf,inf,inf
1234,inf,inf,inf,inf
1235,inf,inf,inf,inf
1237,inf,inf,inf,inf
1239,inf,inf,inf,inf
1240,inf,inf,inf,inf
1241,93.81,93.81,0.0,0.0
1242,inf,inf,inf,inf
1245,inf,inf,inf,inf
1246,inf,inf,inf,inf
1247,inf,inf,inf,inf
1248,inf,inf,inf,inf
1249,inf,inf,inf,inf
1250,inf,inf,inf,inf
1252,inf,inf,inf,inf
1253,inf,inf,inf,inf
1254,inf,inf,inf,inf
1257,inf,inf,inf,inf
1258,inf,inf,inf,inf
1259,inf,inf,inf,inf
1260,inf,inf,inf,inf
1262,inf,inf,inf,inf
1263,95.31,95.31,0.0,0.0
1265,inf,inf,inf,inf
1268,inf,inf,inf,inf
1269,inf,inf,inf,inf
1270,inf,inf,inf,inf
1274,inf,inf,inf,inf
1276,inf,inf,inf,inf
1277,inf,inf,inf,inf
1278,inf,inf,inf,inf
1279,inf,inf,inf,inf
1280,inf,inf,inf,inf
1282,inf,inf,inf,inf
1283,inf,inf,inf,inf
1285,93.25,93.25,0.0,0.0
1286,inf,inf,inf,inf
1288,inf,inf,inf,inf
1289,inf,inf,inf,inf
1290,inf,inf,inf,inf
1291,inf,inf,inf,inf
1293,inf,inf,inf,inf
1294,inf,inf,inf,inf
1295,inf,inf,inf,inf
1296,inf,inf,inf,inf
1297,inf,inf,inf,inf
1298,inf,inf,inf,inf
1299,inf,inf,inf,inf
1301,inf,inf,inf,inf
1304,inf,inf,inf,inf
1305,inf,inf,inf,inf
1306,inf,inf,inf,inf
1307,inf,inf,inf,inf
1309,inf,inf,inf,inf
1311,inf,inf,inf,inf
1312,inf,inf,inf,inf
1313,inf,inf,inf,inf
1315,inf,inf,inf,inf
1316,inf,inf,inf,inf
1317,inf,inf,inf,inf
1319,inf,inf,inf,inf
1321,inf,inf,inf,inf
1322,inf,inf,inf,inf
1325,inf,inf,inf,inf
1326,inf,inf,inf,inf
1327,inf,inf,inf,inf
1329,inf,inf,inf,inf
1330,inf,inf,inf,inf
1331,93.81,93.81,0.0,0.0
1332,inf,inf,inf,inf
1333,inf,inf,inf,inf
1334,inf,inf,inf,inf
1335,inf,inf,inf,inf
1337,inf,inf,inf,inf
1338,inf,inf,inf,inf
1339,inf,inf,inf,inf
1340,inf,inf,inf,inf
1341,inf,inf,inf,inf
1342,inf,inf,inf,inf
1344,inf,inf,inf,inf
1345,inf,inf,inf,inf
1346,inf,inf,inf,inf
1347,inf,inf,inf,inf
1348,inf,inf,inf,inf
1349,inf,inf,inf,inf
1350,inf,inf,inf,inf
1352,inf,inf,inf,inf
1355,inf,inf,inf,inf
1356,inf,inf,inf,inf
1357,inf,inf,inf,inf
1358,inf,inf,inf,inf
1359,inf,inf,inf,inf
1360,inf,inf,inf,inf
1361,inf,inf,inf,inf
1362,inf,inf,inf,inf
1363,inf,inf,inf,inf
1364,inf,inf,inf,inf
1365,inf,inf,inf,inf
1366,inf,inf,inf,inf
1368,inf,inf,inf,inf
1369,inf,inf,inf,inf
1370,inf,inf,inf,inf
1371,inf,inf,inf,inf
1372,inf,inf,inf,inf
1373,inf,inf,inf,inf
1377,inf,inf,inf,inf
1379,inf,inf,inf,inf
1384,inf,inf,inf,inf
1386,inf,inf,inf,inf
